fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.0,0.00793,0.01,0.89493,0.001,2.78103,0.80143,7.03617,0.5893,1.67823,0.00143,0.85486,0.41158,0.00117,0.08194,0.50128,0.0,0.001,0.0,0.48239,0.0,1.0,0.00529,0.01495,0.0,10
0.0,0.00644,0.01,0.89103,0.001,2.78236,0.79071,6.47234,0.59328,1.68488,0.0,0.86035,0.40973,0.0,0.08265,0.51755,0.0,0.001,0.0,0.33447,0.00946,1.0,0.0,0.02093,0.00086,10
0.0,0.00782,0.01,0.84934,0.0,3.0049,0.7867,9.41337,0.49386,1.19002,0.0111,0.69577,0.40232,0.0015,0.08921,0.49349,0.00199,0.001,0.0,0.5069,0.0,0.99928,0.01379,0.00572,0.0,10
0.0,0.00705,0.01,0.87124,0.00019,2.73864,0.8007,9.95338,0.43396,1.1087,0.01578,0.86908,0.40197,0.0,0.06471,0.6076,0.0,0.00086,0.0,0.56189,0.00971,0.67478,0.01044,0.0,0.00065,10
0.0,0.00585,0.01194,0.85495,0.00086,2.9304,0.7842,7.83971,0.55472,1.6772,0.01898,0.70309,0.49333,0.00024,0.08833,0.51198,0.00099,0.00032,0.0,0.50742,0.00201,0.77986,0.00983,0.01265,0.00125,10
0.0,0.00623,0.01068,0.86714,0.00058,2.89697,0.79389,5.78663,0.56133,1.7531,0.01597,0.763,0.57282,0.0012,0.10153,0.58298,7e-05,0.00071,0.0,0.57884,0.00871,0.94833,0.01084,0.02321,0.0,10
0.0,0.00941,0.0117,0.75935,0.001,3.53243,0.73346,7.9595,0.63626,1.5168,0.01065,0.88148,0.59543,0.00085,0.10896,0.55749,0.00025,0.00065,0.0,0.45422,8e-05,0.83196,0.00843,0.00441,0.0005,10
0.0,0.0072,0.01077,0.864,0.00097,3.03652,0.77326,8.82608,0.60816,1.31201,0.00667,0.56457,0.47057,0.0017,0.11445,0.60191,0.0022,0.00054,0.00052,0.50222,0.00224,0.53158,0.0092,0.00411,0.00119,9
0.0,0.00592,0.01107,0.85081,0.00029,2.4663,0.80137,7.10492,0.57383,1.00065,0.0,0.7046,0.43914,0.00099,0.11096,0.50808,0.00289,0.0,0.00019,0.55514,0.01088,1.0,0.00821,0.01676,0.00111,9
0.0,0.00663,0.01018,0.82355,0.00044,2.54704,0.80961,7.70419,0.59736,1.68263,0.0,0.9,0.59083,0.00098,0.08025,0.53271,0.00058,0.001,0.0,0.55746,0.00157,0.9153,0.01045,0.00425,1e-05,10
0.0,0.00545,0.01081,0.85334,0.00051,2.78163,0.78237,7.53457,0.57352,1.6817,0.01777,0.73563,0.43397,0.00087,0.09431,0.51729,0.00061,0.00074,0.0,0.3215,0.00689,0.85726,0.00372,0.01566,0.00107,10
0.0,0.0053,0.01,0.82441,0.00059,3.10735,0.58054,8.57088,0.88274,2.01912,0.0022,0.55907,0.49383,0.0,0.10026,0.56515,0.00041,0.00095,0.00057,0.55589,0.00412,0.42814,0.00502,0.0,0.00063,10
0.0,0.00716,0.01342,0.98,0.00043,2.89302,0.72819,7.46902,0.58043,1.90895,0.00508,0.88288,0.43864,0.00093,0.09455,0.61463,0.0,0.001,0.00014,0.46744,0.0075,0.26151,0.0,0.00406,0.00092,10
0.0,0.00701,0.01056,0.87415,0.00047,2.94573,0.86274,9.48329,0.5684,1.50311,0.00583,0.9,0.44836,0.00038,0.10552,0.52799,0.0,0.00063,0.00047,0.53551,0.00663,0.93411,0.00524,0.02239,0.00063,10
0.0,0.01,0.0102,0.81357,0.00034,3.37432,0.72636,7.65627,0.59628,1.81981,0.01876,0.9,0.62133,0.00056,0.11994,0.67757,0.00136,0.00013,0.0003,0.48973,0.00942,0.77794,0.00448,0.02639,1e-05,9
0.0,0.00931,0.01086,0.93871,0.00048,2.7134,0.95,9.49151,0.73026,1.26985,0.00357,0.52523,0.40607,0.00187,0.10457,0.47471,0.00201,0.00067,9e-05,0.47232,0.01084,0.45427,0.00579,0.02523,0.00088,9
0.0,0.00806,0.01164,0.92748,0.00036,2.91151,0.78335,9.37515,0.6193,1.75006,0.0007,0.84015,0.41857,0.00151,0.08049,0.63034,0.00215,0.0,0.00044,0.46871,0.01,0.58342,0.00335,0.01157,0.0,9
0.0,0.00574,0.01182,0.98,0.00079,3.22947,0.80154,9.58426,0.6253,1.70924,0.00462,0.68892,0.3149,0.00026,0.08892,0.56556,0.00043,0.00015,0.0,0.54649,0.0077,0.7162,0.0,0.00133,0.00089,10
0.0,0.01,0.01005,0.77522,0.0,2.6928,0.85061,7.10146,0.66445,2.30898,0.01196,0.88552,0.31624,0.00094,0.15642,0.55147,0.0,7e-05,0.00879,0.50647,0.00959,1.0,0.0131,0.0095,4e-05,10
0.0,0.00552,0.01151,0.85648,0.00042,4.5797,0.77553,5.59559,0.64505,1.71499,0.01795,0.79205,0.54102,0.00111,0.07213,0.33692,0.0007,0.00027,8e-05,0.54577,0.00392,0.70237,0.00443,0.00615,0.00093,10
